id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2112625,Townhouse in Seattle · ★4.87 · 1 bedroom · 1 bed · 1 private bath,10771753,Abe,Central Area,Leschi,47.59483,-122.29297,Private room,74,30,53,2022-11-22,0.46,2,282,3,
785511257848776674,Home in Seattle · 4 bedrooms · 4 beds · 3 baths,48005494,Zeus,Central Area,Minor,47.6062894712056,-122.30598536295004,Entire home/apt,304,30,0,,,36,312,0,
895049996059510653,Home in Seattle · ★New · 2 bedrooms · 2 beds · 2 baths,484453762,Julia,Central Area,Mann,47.60233366772599,-122.30088767326109,Private room,120,1,1,2023-06-04,1,27,174,1,
895161293333825426,Home in Seattle · ★New · 2 bedrooms · 2 beds · 2 baths,484453762,Julia,Central Area,Mann,47.60391562319445,-122.30036565520123,Private room,114,1,0,,,27,174,0,
44480117,Townhouse in Seattle · ★4.83 · 3 bedrooms · 3 beds · 3.5 baths,48869167,Christopher,Rainier Valley,Brighton,47.533470925960465,-122.28068868366613,Entire home/apt,193,2,92,2023-05-27,2.70,2,38,20,STR-OPLI-19-003060
278830,Home in Seattle · ★4.67 · 3 bedrooms · 3 beds · 2 baths,1452570,Emily,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,421,2,91,2023-06-11,0.68,5,188,9,STR-OPLI-19-002230
18491674,Guest suite in Seattle · ★4.99 · 1 bedroom · 1 bed · 1 bath,108053175,Andy,Queen Anne,East Queen Anne,47.63727,-122.35403,Entire home/apt,153,2,430,2023-06-18,5.98,2,100,102,STR-OPLI-19-001837
37972938,Condo in Seattle · ★4.83 · 2 bedrooms · 2 beds · 1 bath,14860162,Jenn,Queen Anne,Lower Queen Anne,47.62063,-122.35761,Entire home/apt,203,2,88,2023-06-10,4.44,1,86,65,STR-OPLI-20-000061
50017887,Rental unit in Seattle · ★4.50 · Studio · 1 bed · 1 bath,3074414,Melissa,University District,University District,47.66492,-122.30358,Entire home/apt,135,30,14,2022-11-19,0.61,118,139,7,STR-OPLI-20-000157
42860814,Home in Seattle · ★4.96 · 5 bedrooms · 8 beds · 3 baths,145720154,Chima,Rainier Valley,Mount Baker,47.56883,-122.28751,Entire home/apt,424,1,25,2023-06-09,0.71,15,138,15,STR-OPLI-19-003006
885872354448382653,Rental unit in Seattle · ★New · 2 bedrooms · 2 beds · 1 bath,3074414,Melissa,Other neighborhoods,Ravenna,47.67541652855712,-122.29131348430899,Entire home/apt,138,30,0,,,118,327,0,
44360168,Townhouse in Seattle · ★4.86 · 2 bedrooms · 3 beds · 2 baths,19403115,Vince,Ballard,West Woodland,47.67007,-122.37258,Entire home/apt,209,1,215,2023-06-18,6.19,25,333,53,STR-OPLI-19-001508
31908087,Cabin in Seattle · ★4.95 · 1 bedroom · 1 bed · 1 bath,25851366,Alasdair,Other neighborhoods,Wedgwood,47.69196,-122.30175,Entire home/apt,204,3,21,2023-02-20,0.40,2,36,7,STR-OPLI-19-000600
878362709449863450,Townhouse in Seattle · ★4.75 · 2 bedrooms · 4 beds · 1.5 baths,238425582,Allen Lu,Other neighborhoods,Wallingford,47.66332239865849,-122.34133361751466,Entire home/apt,242,1,8,2023-06-18,4.14,16,135,8,STR-OPLI-23-000342
